"All content types","All content types"
"All stores","All stores"
"An error occurred while clearing the Varnish cache.","An error occurred while clearing the Varnish cache."
"CSS","CSS"
"Clean Varnish Cache","Clean Varnish Cache"
"Debug","Debug"
"Disable caching","Disable caching"
"Disable caching for routes","Disable caching for routes"
"Disable caching vars","Disable caching vars"
"Domain or IP list separted by semicolon (e.g. host1;127.0.0.1)","Domain or IP list separted by semicolon (e.g. host1;127.0.0.1)"
"Enable cache module","Enable cache module"
"HTML","HTML"
"If you see this message everything is fine.","If you see this message everything is fine."
"Images","Images"
"JavaScript","JavaScript"
"PageCache powered by Varnish version: %s","PageCache powered by Varnish version: %s"
"Pass X-headers for debugging purpose to the client and log purge requests to /var/log/varnish_cache.log (ensure developer log is enabled).","Pass X-headers for debugging purpose to the client and log purge requests to /var/log/varnish_cache.log (ensure developer log is enabled)."
"Port of the Varnish servers (e.g. 8080)","Port of the Varnish servers (e.g. 8080)"
"Remove selected cache items in external Varnish cache.","Remove selected cache items in external Varnish cache."
"Request variables that force setting of NO_CACHE cookie to permanent disable caching for visitor.","Request variables that force setting of NO_CACHE cookie to permanent disable caching for visitor."
"Server port","Server port"
"Set ""no-cache"" HTTP header for certain routes/actions (e.g. checkout, catalog_product_view). Use one per line.","Set ""no-cache"" HTTP header for certain routes/actions (e.g. checkout, catalog_product_view). Use one per line."
"Cache TTL for routes","Cache TTL for routes"
"Set a TTL of ""0"" for every request","Set a TTL of ""0"" for every request"
"TTL for cached pages in seconds for certain routes/actions (e.g. Route:""catalog_product_view"", TTL:""7200"").","TTL for cached pages in seconds for certain routes/actions (e.g. Route:""catalog_product_view"", TTL:""7200"")."
"The Varnish cache has been cleaned.","The Varnish cache has been cleaned."
"TTL for cached pages in seconds (e.g. ""1800"" = page cache is valid for 30 minutes).","TTL for cached pages in seconds (e.g. ""1800"" = page cache is valid for 30 minutes)."
"The catalog image cache has been cleaned on the Varnish servers.","The catalog image cache has been cleaned on the Varnish servers."
"PageCache powered by Varnish settings","PageCache powered by Varnish settings"
"Varnish servers","Varnish servers"
"Purge category","Purge category"
"Purge categorie's cache item on save","Purge categorie's cache item on save"
"Purge product","Purge product"
"Purge product's cache item on save","Purge product's cache item on save"
"Purge CMS page","Purge CMS page"
"Purge CMS page's cache item on save","Purge CMS page's cache item on save"
"Route","Route"
"TTL","TTL"
"Add route","Add route"
"Varnish cache for ""%s"" has been purged.","Varnish cache for ""%s"" has been purged."
"Varnish cache for the product's categories has been purged.","Varnish cache for the product's categories has been purged."
